model,series_id,category,strategy,sMAPE,MAPE,RMSE,MSE,MAE,MASE
dlinear,T54,yearly,pretrain_finetune,36.92598649568766,30.74750649925861,2695.060999703916,7263353.792125071,2543.673274739584,3.888516815316952
dlinear,T54,yearly,from_scratch,65.45662923511097,49.09916777570391,4054.714653676939,16440710.9227425,3984.772517903646,6.091527200036149
dlinear,T55,yearly,pretrain_finetune,14.673869575691228,16.18629240196274,504.5140780913848,254534.45499239987,434.0676643880208,0.9033666272383368
dlinear,T55,yearly,from_scratch,16.91375392332621,18.66860901424348,608.1303067965167,369822.4700444255,529.7363736979166,1.1024690399540409
dlinear,T59,yearly,pretrain_finetune,34.254086152179894,28.62188777131499,2059.901922707131,4243195.931172535,1880.967887369792,7.09375019170171
dlinear,T59,yearly,from_scratch,47.0876440948444,37.7512915099603,2527.101050315101,6386239.718503685,2424.9715087890627,9.14536724462522
dlinear,T82,yearly,pretrain_finetune,25.03105097124087,31.603807670547774,769.4344325028071,592029.3459209168,620.3267171223958,2.128331307097161
dlinear,T82,yearly,from_scratch,18.524886917406747,19.761349504646677,464.8677549492873,216102.0295915906,408.739013671875,1.402377191273258
dlinear,T117,yearly,pretrain_finetune,33.0416011149946,27.60155641329924,3105.306454410665,9642928.175804537,2606.4772135416665,3.5147036808573726
dlinear,T117,yearly,from_scratch,70.73436006245463,48.77948195144795,5343.658750867648,28554688.8457244,4559.506176757812,6.148265198362315
dlinear,T126,yearly,pretrain_finetune,54.37198592216267,40.88282169854553,3590.5834162185365,12892289.268823575,2927.8565104166664,9.30773839909438
dlinear,T126,yearly,from_scratch,85.71916672721981,58.50067437183635,4551.207907599941,20713493.41820023,3981.4854166666655,12.657254399693503
dlinear,T237,yearly,pretrain_finetune,10.05127163323985,11.377821452915448,419.217900284304,175743.64791878065,285.9015299479167,0.5220270730395242
dlinear,T237,yearly,from_scratch,16.85186680714865,19.132485122396115,592.0494817879053,350522.5888853272,511.632568359375,0.9341889572294156
dlinear,T259,yearly,pretrain_finetune,12.9601166640575,12.116307315899313,689.5499021024258,475479.06748946506,663.72021484375,7.207006065490329
dlinear,T259,yearly,from_scratch,20.643768585950024,18.567408415604923,1050.4025660934933,1103345.5508557956,1012.1360677083334,10.990279662934055
dlinear,T269,yearly,pretrain_finetune,22.452762583245278,19.984715997910985,1253.5688082970444,1571434.757135272,1187.4320475260415,8.715097596521407
dlinear,T269,yearly,from_scratch,34.53854223196948,29.13692140635888,1752.8840059173276,3072602.338200778,1702.0054117838542,12.491782838780582
dlinear,T272,yearly,pretrain_finetune,9.170990743019654,8.724252204716883,468.1932786547057,219204.94617744288,444.2315266927083,2.918975124058864
dlinear,T272,yearly,from_scratch,23.38887671002038,20.69115834186592,1115.1992845097468,1243669.4441710513,1057.9098307291667,6.95135823066393
dlinear,T286,yearly,pretrain_finetune,20.17277599029041,18.16643899981183,1073.233622369857,1151830.4081851244,1020.2266438802084,6.125188105847405
dlinear,T286,yearly,from_scratch,32.47880740942684,27.666138911635024,1592.5273318184154,2536143.302588681,1542.1224772135415,9.258521439180738
dlinear,T287,yearly,pretrain_finetune,12.552749769098314,11.71417682686204,676.6625588853377,457872.21859725314,630.9303385416666,5.835193882466281
dlinear,T287,yearly,from_scratch,18.95125965848961,17.1983207845362,956.666510730422,915210.812753121,921.0997721354166,8.518841823217725
dlinear,T319,yearly,pretrain_finetune,34.4286969174014,28.69745789920213,2017.351139347311,4069705.619425893,1849.3589680989585,5.704046937751004
dlinear,T319,yearly,from_scratch,51.36094625674384,39.79696509265221,2737.2448617105338,7492509.432960719,2548.854451497396,7.861526982931728
dlinear,T325,yearly,pretrain_finetune,49.65385293504987,38.77074442255899,3534.016698796872,12489274.02737514,3241.68310546875,11.759875226731664
dlinear,T325,yearly,from_scratch,56.40004218465728,42.605911412280456,3883.834065512533,15084167.048435608,3548.75048828125,12.873825600838908
dlinear,T330,yearly,pretrain_finetune,34.828778204969005,29.341599572283013,2085.905257492733,4351000.7432358265,1997.0748697916667,9.10477216602555
dlinear,T330,yearly,from_scratch,54.85455999366994,42.8997550916476,2907.478504732312,8453431.255480438,2875.099812825521,13.107735291411409
dlinear,T352,yearly,pretrain_finetune,42.558327473919846,57.15453747875346,2835.41491973776,8039577.767071485,2572.80322265625,2.434522353005536
dlinear,T352,yearly,from_scratch,38.92851909246941,35.09623482375866,3039.332196447039,9237540.200359585,2373.80859375,2.246223120505299
dlinear,T405,yearly,pretrain_finetune,22.65737798414871,20.162805123109813,2287.151792957633,5231063.3240293125,2190.5145345052083,12.162261618784376
dlinear,T405,yearly,from_scratch,42.69690465371798,33.51520343971794,4088.4195000516056,16715174.00840222,3631.94267578125,20.1654160752953
dlinear,T413,yearly,pretrain_finetune,19.350631972763875,17.50923774801705,1598.5222410177564,2555273.3550284305,1536.6670735677085,5.473435702823538
dlinear,T413,yearly,from_scratch,42.869622709671205,34.63888577173573,3178.801076248541,10104776.282358885,3034.966796875,10.810211208815671
dlinear,T435,yearly,pretrain_finetune,10.938487107038831,10.279821761204955,401.1992849695789,160960.8662601014,365.7715250651042,4.187082053075599
dlinear,T435,yearly,from_scratch,13.78409633749226,12.814508006735764,478.279928199506,228751.6897185246,452.7999674479167,5.183319333009676
dlinear,T453,yearly,pretrain_finetune,1.479867284430343,1.4635081166111426,164.14904277168793,26944.90824286143,131.19303385416666,0.6854646292063196
dlinear,T453,yearly,from_scratch,8.001762958436377,7.61481985688736,770.1510376881877,593132.6208521923,681.503662109375,3.5607580778246875
dlinear,T463,yearly,pretrain_finetune,4.042126211991404,3.946237969131891,332.4409786456415,110517.00428287189,302.19384765625,1.4563558923192772
dlinear,T463,yearly,from_scratch,8.513746258112205,8.152554102489685,627.8261565878718,394165.6828958988,616.6640625,2.971875
dlinear,T478,yearly,pretrain_finetune,4.005374279633969,4.1022282570410535,296.00524764689163,87619.10663449764,273.4579264322917,8.711933939435841
dlinear,T478,yearly,from_scratch,4.207715371948197,4.304636273942017,296.85862298914344,88125.0420430104,287.7451985677083,9.167103671183629
dlinear,T479,yearly,pretrain_finetune,8.36701904857493,7.978575298038089,508.2964917622261,258365.3235377868,469.325439453125,4.874701621555828
dlinear,T479,yearly,from_scratch,12.038344693983644,11.28980854405426,697.8082504704822,486936.3544246753,662.208251953125,6.878100712727208
dlinear,T497,yearly,pretrain_finetune,32.52260893702334,27.466682679564432,2666.4771965442783,7110100.639690635,2476.090686848958,7.990826226922198
dlinear,T497,yearly,from_scratch,61.97223864946648,46.93448275392186,4239.59937996701,17974202.902616654,4154.492054036458,13.407353874902514
dlinear,T501,yearly,pretrain_finetune,2.346177971923784,2.357319209867144,183.2286414889883,33572.7350619002,151.29202473958335,0.6818276908047372
dlinear,T501,yearly,from_scratch,7.648761974805442,7.313065367317333,553.6395904935134,306516.79616182524,483.8683756510416,2.180649361996881
dlinear,T530,yearly,pretrain_finetune,1.1074981250086025,1.1121753319514942,51.26946718242215,2628.5582651694617,48.825113932291664,1.6866857540246212
dlinear,T530,yearly,from_scratch,1.6235012393143733,1.6340804417806898,79.56267948460018,6330.219966769218,71.75447591145833,2.478790986032197
dlinear,T533,yearly,pretrain_finetune,45.76573090249123,62.028957742426726,1538.1280466969304,2365837.8880357146,1449.7810872395833,9.17905718266356
dlinear,T533,yearly,from_scratch,60.74888907170332,89.2270358278386,2227.2534900549645,4960658.108962019,2159.162353515625,13.670391263904763
dlinear,T534,yearly,pretrain_finetune,59.555572228081424,44.49063321748264,4769.419584438682,22747363.172427256,4234.275716145833,13.762542956053627
dlinear,T534,yearly,from_scratch,91.11289692224844,61.3832784044936,5930.478058858871,35170570.00660648,5593.193094889323,18.179392507765947
dlinear,T593,yearly,pretrain_finetune,32.56548874143443,27.426671922334016,2674.530827738311,7153115.148522575,2467.4491373697915,4.619730026280034
dlinear,T593,yearly,from_scratch,82.32346240322212,57.43840282563667,5158.828585396837,26613512.37350753,5049.85428873698,9.454688703688957
dlinear,T612,yearly,pretrain_finetune,19.811581691233428,17.335906313276297,1190.7869281384187,1417973.5082253318,966.214314778646,4.18677363168407
dlinear,T612,yearly,from_scratch,26.45009747396953,22.815289232421257,1403.91095144309,1970965.959581842,1235.2147216796875,5.35239889028271
nbeats,T54,yearly,pretrain_finetune,31.124185972293745,26.48831878677273,2377.483243964363,5652426.575331311,2203.625260416667,3.3686849505719905
