category,series_id,seasonal_naive_sMAPE,seasonal_naive_MAPE,seasonal_naive_RMSE,seasonal_naive_MSE,seasonal_naive_MAE,seasonal_naive_MASE,auto_arima_sMAPE,auto_arima_MAPE,auto_arima_RMSE,auto_arima_MSE,auto_arima_MAE,auto_arima_MASE,ets_sMAPE,ets_MAPE,ets_RMSE,ets_MSE,ets_MAE,ets_MASE,prophet_sMAPE,prophet_MAPE,prophet_RMSE,prophet_MSE,prophet_MAE,prophet_MASE,dlinear_sMAPE,dlinear_MAPE,dlinear_RMSE,dlinear_MSE,dlinear_MAE,dlinear_MASE,autoformer_sMAPE,autoformer_MAPE,autoformer_RMSE,autoformer_MSE,autoformer_MAE,autoformer_MASE,fedformer_sMAPE,fedformer_MAPE,fedformer_RMSE,fedformer_MSE,fedformer_MAE,fedformer_MASE,patchtst_sMAPE,patchtst_MAPE,patchtst_RMSE,patchtst_MSE,patchtst_MAE,patchtst_MASE,nbeats_sMAPE,nbeats_MAPE,nbeats_RMSE,nbeats_MSE,nbeats_MAE,nbeats_MASE,timesnet_sMAPE,timesnet_MAPE,timesnet_RMSE,timesnet_MSE,timesnet_MAE,timesnet_MASE,helformer_sMAPE,helformer_MAPE,helformer_RMSE,helformer_MSE,helformer_MAE,helformer_MASE
yearly,T1,36.81967204083199,30.1261334672218,2701.6741825239897,7299043.388516668,2368.138333333334,7.703517560695273,7.362101050820134,7.020607511680795,681.423254632992,464337.6519546194,564.238883824807,1.8354604073543705,6.260295532692088,6.017378153538375,578.602627388957,334781.0004214042,481.7033238144962,1.5669735005838985,26.431900526784908,23.063253373270364,1946.1469809804616,3787488.0715793655,1776.24944741295,5.77811212196399,75.44389230273171,53.22900412980239,4443.489460166966,19744598.58261491,4080.587317708334,13.274087758070117,53.98527749339904,42.22328516687485,3321.1787306014003,11030228.16059913,3167.96150390625,10.305330027996,58.61516924627044,45.11849667036628,3493.6574516601204,12205642.389540287,3363.6254850260416,10.941821947971901,57.02946524547842,43.89182943396129,3510.391838975032,12322850.863142507,3312.830115559896,10.776585392667435,59.54767128637432,45.070194705420136,3185.9580608598076,10150328.765557585,3151.3657600911465,10.251344328717826,16.922956518002287,15.322587176222488,1390.682409904037,1933997.5652165,1209.8573372395833,3.9356473024286247,8.911297358792986,9.387588101431497,823.6631632182293,678421.0064426595,720.8956040730028,2.345062307904762
yearly,T2,19.152325976671804,17.39827260759341,934.4873139855886,873266.54,902.1666666666666,1.6983878963584904,6.52390469869695,6.126801579287533,467.05067614385894,218136.33408643582,323.23285929988333,0.608507048890008,6.572243190048126,6.166651072071747,471.21351409429536,222042.17586509467,325.2721661043486,0.6123461776470728,15.852973935402675,17.479424688867116,963.0675402436959,927499.0870710429,885.9703959764312,1.6678973549510177,16.048337321546963,14.325002017370906,906.6146096359357,821950.0504053201,744.4660074869793,1.4015060665430057,8.544014599271906,8.528538515245247,506.72091636558343,256766.0870823766,431.0091796875001,0.8114030378725128,8.891166707661798,8.884899624090263,524.3988689401742,274994.173745734,450.1830078125001,0.8474990263606244,9.830486417210714,10.29686892512467,548.104896747912,300418.9778390393,520.4362467447918,0.9797553544772901,11.310009621166762,10.242697166977067,719.0713961131444,517063.6727081065,531.3715250651043,1.0003417328359048,36.870408275451965,30.002900600522214,1708.6073014802419,2919338.910671594,1550.6251627604167,2.9191535284181116,7.571808130751258,7.166375560855316,471.2700380095384,222095.44872551176,377.1256221856,0.7099637082505317
yearly,T3,6.402776205284813,6.81275421123031,289.68775143822234,83918.99333333329,213.2333333333332,0.375220240713794,21.820342988075023,25.228089638954643,905.1471840761028,819291.4248408983,820.4301654511128,1.4436861224140591,7.590655552120201,8.121629698346027,329.83415426961216,108790.5693227503,255.67042023360568,0.44989549768696474,43.235393262565424,55.95698182485515,1878.6819779224722,3529445.9741706923,1841.121588929426,3.239765917374375,18.69520701365362,22.78848521431965,1010.9269885117658,1021973.3761014678,716.219580078125,1.260309910461998,32.11150032053319,39.21137720628056,1401.5723707461907,1964405.1104390977,1309.5335042317708,2.30434645934324,30.2882479417526,36.71230545631355,1324.757388454476,1754982.1382647234,1223.6546793619793,2.1532280913276343,39.675378330667634,50.086961320978084,1731.3132805920568,2997445.67555443,1677.7262125651043,2.952244020621482,40.36559366718035,51.10994130261275,1704.6885525345185,2905963.061142232,1681.8941406250003,2.9595781974383275,46.474257817218785,62.70724606272617,2202.3578162996,4850379.951015943,2075.7427734375,3.6526217122517006,48.46934072169036,66.73962040418195,2341.440964753528,5482345.791425933,2191.768537333453,3.8567887361287116
yearly,T4,10.811398261110353,10.0970353078143,624.5187922979848,390023.7219333334,539.5633333333334,0.8679116801784413,10.575185458678941,11.614738391350453,774.2419087291718,599450.5332325912,590.6892203069789,0.9501499490203624,9.863596844139309,10.78217032561068,729.0946103167137,531578.9507928806,549.5536119013491,0.8839814887101871,9.545222777501468,10.340095467705208,674.1261091825339,454446.01108158164,525.763851248556,0.8457145979419572,53.41767134888229,41.02324988588153,2230.4109711316273,4974733.1001443295,2122.4309399414065,3.41402480366331,29.448561067153285,25.108941255081778,1442.624914977727,2081166.645314494,1325.347830403646,2.1318810809478284,29.95929161106637,25.554151822431688,1451.901144078626,2108016.9321768233,1346.8197949218752,2.1664196932857345,29.6524875293738,25.14682991805276,1471.435767328724,2165123.2173742712,1331.3559684244794,2.1415454388503403,24.937750624202483,21.827886938641203,1234.079442381566,1522952.0701087967,1148.6442985026044,1.8476455708766641,31.504992103850952,26.714967041322296,1507.74249981028,2273287.445734152,1405.7424430338542,2.2611994000673246,68.1096655430776,115.6784848989476,6846.625283224185,46876277.76888466,5984.031455455006,9.625581417216264
yearly,T5,17.931823272441953,20.246245960846977,981.0325945995205,962424.9516666672,885.6833333333338,1.4010702627104354,18.832047044554322,21.379369972574278,1033.776506481227,1068693.8653525305,936.0563412094572,1.480755767362416,19.906924111117906,22.742844935210957,1096.483506692647,1202276.0804490044,997.0144096851985,1.5771858725696506,7.960738288850873,8.421537058769008,441.21358105438503,194669.42410683437,364.3477647844518,0.5763649368937486,19.808850303122448,22.43556306467034,1093.8415686943658,1196489.377403751,1011.1334147135418,1.599520850930168,23.032323208774542,27.256716754600724,1385.152899486169,1918648.5549549412,1206.5979329427084,1.9087278932205731,25.606410123732363,30.59158444513249,1515.116057959358,2295576.6690863045,1356.4425781250002,2.1457684566928137,26.40058076746536,32.082644037719355,1658.0664331477697,2749184.2967313672,1433.453971354167,2.267593457663761,28.859940014430883,34.851548687467634,1654.3624167347477,2736915.005904435,1536.974235026042,2.431353074176744,27.955359639032807,33.65657934321733,1606.724792350574,2581564.5583539954,1481.4647949218752,2.3435422021611774,8.1939251211558,8.132858379504707,412.5396992852218,170189.00348634121,376.84917227022294,0.5961410234600604
yearly,T6,4.2940775838843335,4.365181953743975,205.22545805365695,42117.488633333305,173.32666666666668,0.7073092127429373,15.833889825877234,17.711131656811897,808.5508760408322,653754.5191463972,699.7246731490027,2.855427368563196,17.22335225742183,19.479876291246605,892.4334773000421,796437.5114058448,769.8902801785274,3.141758267461327,18.033527740142542,20.422530164480722,918.2915679416644,843259.4037527605,807.9089108423108,3.2969042022532333,32.87587118638107,26.96158171645812,1229.8190668325456,1512454.9371448734,1084.0283414713542,4.423688792629345,7.047744738228197,6.704747054000433,362.47416455451923,131387.5199694967,279.07801269531245,1.1388579336900548,10.010956569986645,9.362249960338993,481.83636736838247,232166.2849187588,389.4035986328125,1.5890731535149891,14.144919915252535,13.069361516837702,632.753068592329,400376.4458130086,540.4363509114584,2.2054056496452716,9.932700726171474,9.031973111473372,544.6082615546006,296598.15855352435,379.26539062499995,1.5477012858010577,13.638620466076167,14.974191729386135,675.1146295049051,455779.76297154534,591.7037207031249,2.4146168671925503,40.20877528257784,51.64146886407628,2169.646345792681,4707365.265811535,2063.887957391506,8.422287201424373
yearly,T7,2.8584583172275915,2.903750795088704,182.61587800626768,33348.55890000004,144.46333333333345,0.31161150481487465,12.519695995183152,13.554301308221683,753.2024726115756,567313.9647481913,681.711425524339,1.4704708679743357,16.976795956763006,18.769114475552627,1003.8835923415384,1007782.266972552,945.4043863281707,2.0392640588082616,16.709108519125984,18.44702585987542,987.6751612873629,975502.2242240183,929.1010814881856,2.004097368151047,30.219636541149004,25.743954930001916,1404.5955040681943,1972888.5300485846,1301.9813020833333,2.808410573268998,7.215521314104924,7.172778869774454,386.3955992826992,149301.55914503624,361.8564778645832,0.7805346795800069,8.018491819076022,7.848556359232894,436.65938205343156,190671.41593528472,399.4187337239582,0.8615575301712608,14.693612379600825,14.638749840098097,826.8805104659474,683731.3785884257,739.4709798177082,1.5950598637803757,23.177005709412533,26.589734301188876,1686.3622242397248,2843817.551342752,1316.7040787760416,2.8401680199124475,8.727936151560368,9.23945421335548,516.2586484344015,266522.9920833149,461.0778873697918,0.9945580723147557,34.93692403047211,42.84445135227812,2235.0407292193795,4995407.061269496,2164.4539678399706,4.668788560103872
yearly,T8,9.17774554953089,9.539522829832121,786.6749581942979,618857.4898500004,735.5450000000001,1.2046372199608704,29.14033807297581,36.84893635191857,3294.020542276813,10850571.332941629,2757.9203013571187,4.516777960152655,57.16924936714077,91.01174538857127,7903.893457940713,62471531.79447801,6868.614570203293,11.249058535959625,18.245568500682342,17.344154019738724,1592.6582773729049,2536560.3884844286,1416.5797045109437,2.3200003223392915,72.58733079784294,51.0236111180427,5090.158009068407,25909708.557283252,4134.886967773437,6.771902115725109,46.37011387572238,34.560993189080854,3544.3428830691205,12562366.472762724,2886.867317708333,4.727960655024588,54.32047768376065,39.98496491921006,3864.2362393315816,14932321.713363485,3312.8642659505203,5.425636228160539,47.922211926670826,46.84118918037514,4105.077698567954,16851662.91127997,3726.118440755208,6.1024423518836866,77.7515349323871,51.30357789686988,4938.077966391916,24384614.00216532,4248.644091796875,6.958207597557408,36.817488423627196,51.75390000643616,4953.111231499278,24533310.871604297,3870.944778645833,6.339631370983369,200.0,7.225179030206207e+34,1.2773159679330499e+37,1.6315360819367438e+74,5.395273959502625e+36,8.836098163270117e+33
yearly,T9,33.35055985306827,28.260404438226853,2237.479860657968,5006316.126850001,2101.1650000000004,2.35207535212056,12.387538420203486,11.466352556272625,993.8326133956097,987703.2634487472,859.4199213090366,0.9620474422676828,15.831597927531348,14.48211794022461,1186.889082565594,1408705.6943133974,1076.1815420677178,1.2046936244914483,9.6596519643304,9.04578986426079,838.0481529530248,702324.7066679765,690.4775605550672,0.7729308509202774,64.41008052314531,45.12595811695695,3908.196197339124,15273997.516895987,3390.501059570312,3.7953773138016156,35.79317959879801,29.12442216275071,2538.8314687441075,6445665.226685363,2202.5453385416668,2.4655620109376883,36.58061183608694,29.69685624945278,2573.7090965722614,6623978.513778806,2242.7404882812502,2.510557059388081,34.402668876950756,27.7444240856966,2514.285529834331,6321631.725534304,2096.8992122395834,2.347300165855486,41.27542868231722,32.24892135750244,2914.267995848549,8492957.951627119,2455.5943294270833,2.7488288149919002,34.519802427060114,28.737260695495078,2382.2065464199377,5674908.029806008,2155.1802669270833,2.4125408453004886,33.28470345393683,45.121999788357805,4463.33243554022,19921336.430145394,3428.232411493122,3.8376143503312687
yearly,T10,52.723254881617585,101.20916231774689,4488.55276620427,20147105.935,3474.9833333333336,6.1121672060643455,63.47544053890203,147.81431723652963,6571.203661496097,43180717.56085972,5077.45065803341,8.930755754926874,67.67556697652259,161.36343748870186,7106.4089782673,50501048.56639809,5692.852426187288,10.013189293465903,67.73332650010659,161.56043797667908,7114.368152906532,50614234.21509069,5701.688284252974,10.028730732582597,57.573400775316266,64.43360881661751,3773.158715749723,14236726.694238098,3407.398046875,5.993291075770266,55.49490541873987,101.1142789812874,4465.609262711194,19941666.087212015,3690.097916666667,6.490533424165017,55.783428753298125,100.06692603679292,4399.828927675139,19358494.59280697,3697.5429036458336,6.503628452514401,58.891715418068294,106.24908908488466,4625.250298867427,21392940.327173226,4018.739029947917,7.068582077202816,69.88219687407201,134.65936284368112,5979.828493197747,35758348.80805963,5201.946793619792,9.149732689265981,66.90278410706053,160.9147029370103,7113.247060592711,50598283.74503084,5615.209212239583,9.87662221945655,64.14898517691935,145.00349192555814,6392.032295059623,40858076.861085184,5088.0744458272775,8.949441993429081
