category,series_id,seasonal_naive_sMAPE,seasonal_naive_MAPE,seasonal_naive_RMSE,seasonal_naive_MSE,seasonal_naive_MAE,seasonal_naive_MASE,auto_arima_sMAPE,auto_arima_MAPE,auto_arima_RMSE,auto_arima_MSE,auto_arima_MAE,auto_arima_MASE,ets_sMAPE,ets_MAPE,ets_RMSE,ets_MSE,ets_MAE,ets_MASE,prophet_sMAPE,prophet_MAPE,prophet_RMSE,prophet_MSE,prophet_MAE,prophet_MASE,dlinear_sMAPE,dlinear_MAPE,dlinear_RMSE,dlinear_MSE,dlinear_MAE,dlinear_MASE,patchtst_sMAPE,patchtst_MAPE,patchtst_RMSE,patchtst_MSE,patchtst_MAE,patchtst_MASE,nbeats_sMAPE,nbeats_MAPE,nbeats_RMSE,nbeats_MSE,nbeats_MAE,nbeats_MASE,timesnet_sMAPE,timesnet_MAPE,timesnet_RMSE,timesnet_MSE,timesnet_MAE,timesnet_MASE,autoformer_sMAPE,autoformer_MAPE,autoformer_RMSE,autoformer_MSE,autoformer_MAE,autoformer_MASE,fedformer_sMAPE,fedformer_MAPE,fedformer_RMSE,fedformer_MSE,fedformer_MAE,fedformer_MASE
daily,D362,1.3044747188030357,1.3133422758126032,108.91184085567292,11861.789078571428,94.4192857142857,0.825809028706415,1.0669402511686783,1.0718212768282205,85.5502578835946,7318.846623949538,77.02329351967371,0.6736603727518683,1.0350503226251764,1.0396687619820644,84.11214329945958,7074.852650428822,74.7117952800041,0.6534435695668243,0.7153338475773398,0.718204836162783,64.92824471234456,4215.6769614261,51.604305718042205,0.4513410714738928,1.3024351127504403,1.3101457607635716,105.85175432318424,11204.593893295754,94.1371107700893,0.8233410729828645,2.172876995746067,2.2002253487054526,168.89875452493237,28526.78928007336,158.0739829799107,1.3825451162954925,1.0684931236199362,1.0579898848271851,106.42962436288514,11327.264942024833,76.80921316964285,0.671787985298535,2.053366696034465,2.080082752884538,167.076562131322,27914.577613621495,149.50778599330357,1.3076235284048146,4.483402198512209,4.5919584514154375,338.4505780016897,114548.79374967785,329.8990387834821,2.885359730567713,3.5556764077623537,3.6275273473427454,274.55511601312577,75380.51172898094,260.35223353794646,2.277090146075819
daily,D375,1.4759574580071684,1.4822340166837529,135.6902863404115,18411.85380714286,113.61785714285718,0.7731023573591693,1.9774102594226743,2.001663108993354,168.8051475333492,28495.177833755795,152.56016285731363,1.0380817286123476,2.019524926147209,2.0448663443586375,172.54222957947772,29770.820988257194,155.8511873708392,1.060475205073837,4.59107501593146,4.709718040589806,376.2942127513627,141597.33455016787,359.58181146626487,2.446741675109355,0.56465895757943,0.561733763809833,62.38873270194789,3892.353968155102,43.37441545758929,0.2951372581967973,1.8906612097422428,1.8689197622673608,158.22629796045496,25035.56136627067,142.95738839285715,0.9727405246647562,1.464307811217521,1.4514766593486097,121.57676380413338,14780.909497086035,110.83849190848215,0.7541904198460745,2.7964172394212676,2.8407248171184163,245.81641170613037,60425.70826407779,216.87771065848216,1.475724622740548,3.953506212492049,3.8711034976444134,306.97918883388877,94236.22237711232,296.24170758928574,2.015749709109706,4.906794434095635,4.785073199814105,373.100598053469,139204.05626785627,366.5370131138393,2.4940677110412532
daily,D397,1.3310060238689878,1.3460682144133298,139.22562874700907,19383.775699999995,102.89999999999996,0.6774505126625714,1.3812316976700605,1.3675702870769983,127.4541246655643,16244.553894265206,105.66300149854584,0.6956409575768315,1.2193487491097366,1.2079904364356522,116.31473088508956,13529.116620870804,93.39110255367744,0.6148479135384992,1.4938324725919894,1.5093331114637296,137.6293026878148,18941.82495833415,115.32518301621738,0.7592527148419957,0.8011762468753016,0.8012805439747231,78.01181217127325,6085.842838246018,61.67373186383929,0.4060340259375307,1.041974672193981,1.0443721367925365,86.55440348847537,7491.664763245798,80.18020228794641,0.5278728779918173,3.345932536783002,3.424421112154947,307.19166182205953,94366.7170929986,262.360673828125,1.7272728181473374,1.1026214706459283,1.0929557987577272,108.2920807683313,11727.17475713479,84.53075334821428,0.5565150844655117,2.461542964721889,2.5058139033521334,229.43111637150665,52638.63715947582,191.51940011160715,1.2608835353783912,1.0358992626000687,1.0283215500636105,110.02670133905367,12105.875007553315,79.46370256696426,0.5231557438489411
daily,D540,2.575481815393696,2.5295603383510867,174.5583304064455,30470.61071428579,145.1785714285715,0.6771351653806803,2.362254436772874,2.3264118014796944,156.87971891783212,24611.24620773801,133.41218955282855,0.6222549522819899,2.1879775950272884,2.1594669160287245,144.92777533282555,21004.060062921955,123.69783662386672,0.5769457175072475,9.963827195722082,10.53814483323432,619.0774523026987,383256.89194960025,593.7257613384817,2.7692281831861454,1.2989896038474014,1.3007846255013846,82.40069706232761,6789.874876357487,73.37255859375007,0.342220887758404,1.767496900141342,1.7530589795934106,110.5622383774352,12224.008555028808,100.09803989955364,0.4668726392242687,1.923830126983811,1.910184205347861,117.82528294413156,13882.79730086466,108.87465122767864,0.5078081030786973,2.278833557804736,2.247271961894256,151.49004345622402,22949.233266368643,128.73695591517864,0.6004489441964167,2.06955438744554,2.0527824369563796,132.42214669189886,17535.62493449078,117.03613281250009,0.5458745072891042,2.2453013537960467,2.2615911127586767,147.98456840677304,21899.432486538884,127.42090541294648,0.5943106824287925
daily,D771,1.814036956752979,1.8428009651957888,116.99198995779884,13687.125714285708,86.50000000000007,0.5219338662477779,2.0492622939523537,2.082980822332798,122.76863886594002,15072.1386889956,97.75252601515636,0.5898306802147631,2.0704836928788555,2.10448935676246,123.3432016614004,15213.545396084886,98.78199774498276,0.5960424277308448,21.979672745013584,19.783806061928424,947.1566207546774,897105.6642394199,941.6236202565034,5.6816792678694314,3.3582751558310773,3.429820020323154,179.6739720933117,32282.73624778815,161.72723911830357,0.9758488230126589,2.823127757091191,2.8747020765955424,152.3730655748103,23217.55111266545,135.47127511160716,0.8174225015551149,2.512096551264422,2.5552002410141017,139.1011568740401,19349.131843696316,120.2660574776786,0.7256754723433781,2.0195333273083604,2.0525968819633555,121.59667982381288,14785.752544174864,96.3116420200893,0.581136505019851,5.255706769216982,5.414903815805084,269.7787302667613,72780.56330434592,255.9127999441964,1.544156729447034,1.3731335279222865,1.3876864837601055,87.37575477813593,7634.522523048943,65.17483258928567,0.3932595648020522
daily,D848,2.5215571617908505,2.5051405984436883,36.36668540220373,1322.535807142858,32.670714285714325,0.8885641620682817,1.6143382903349133,1.609446907636805,29.419594861047663,865.5125617881821,20.996893770072106,0.5710645673577722,1.633074159808862,1.6277339694955422,29.606703491020316,876.5568916051944,21.239552335573222,0.5776642915951293,17.93047179170887,19.729757786534165,257.37152362392635,66240.10117250126,255.6773723264264,6.953804196450976,1.9437597183323283,1.9267761964876824,33.33165732357357,1110.999379936136,25.24932547433038,0.6867203923575664,3.111793860769787,3.033613620406577,52.58483074798399,2765.1644247941226,40.0904684012277,1.090363472017457,1.5958455242602747,1.6106891341953469,28.627269768735935,819.5205744119825,20.74416259765623,0.5641908926507446,2.650633542903751,2.594205240354905,46.46268600239598,2158.781190557243,34.24526227678574,0.9313880472177544,3.7389091859264423,3.649240072153432,55.408355607620315,3070.08587114051,48.02988385881698,1.3062963096557678,1.583387633259175,1.600887535574023,27.268280634779792,743.5591287771067,20.56143310546874,0.5592210938061035
daily,D1565,1.3834974707969208,1.3829350051622804,21.227064597550196,450.588271428569,18.972857142857087,0.7339620980330721,1.3025292459483164,1.298807445886887,19.797149640401713,391.9271338844577,17.868948460529623,0.6912575582572574,1.2966725077180248,1.2929044138628036,19.729477447259928,389.25228034193816,17.78894652648697,0.688162695585045,17.462714482325424,16.052176099133668,221.70197350697256,49151.76505688635,220.80255667286403,8.541713381724074,1.3922643686211027,1.3872056416126943,21.370805534511724,456.7113291939169,19.0957477678571,0.7387161032034301,1.3021647636412368,1.2979451157072188,19.77223512521744,390.9412818468823,17.86437220982139,0.6910805266933949,1.1931358317250966,1.1927591074970116,18.544333282094865,343.89229687741135,16.368322056361567,0.6332060536433797,1.1827188121568033,1.180712389208396,18.234714257996966,332.5048040707979,16.227601143973175,0.6277622865124709,1.5345208784180224,1.5344916037282064,23.123870228853946,534.7133743608778,21.05200020926335,0.8143934318928208,1.3623938663741286,1.363068538846029,20.6629449408896,426.95729363023526,18.68859688895085,0.7229655332682874
daily,D1700,2.8106506696260984,2.8666352445555163,51.582804443784504,2660.785714285714,42.857142857142854,0.8314143618012969,3.536484977416838,3.623346763478451,62.870718510300286,3952.727246001415,54.16079723513331,1.0507015089176155,3.443452178835487,3.5264960586745007,61.4612867079531,3777.489763797212,52.70336870915774,1.0224278787357328,1.8196253660572783,1.8078613822395315,34.222227130932474,1171.1608298011308,27.616462541774226,0.5357502168521683,2.5864031815406663,2.6336654004775863,47.32010413544625,2239.1922553894774,39.36956787109375,0.763756563405226,1.6352773574129575,1.6272642529739316,31.414468683891236,986.8688426911832,24.8310546875,0.4817142280034214,1.7244950217112465,1.7344028702081675,31.148057466035407,970.2014839074442,26.112269810267858,0.5065693765880329,3.5018808303292883,3.5907521551487194,63.61961850579932,4047.455858823444,53.621468680245535,1.0402387137714737,4.872821278953749,4.978620649400927,86.58981865105275,7497.796694022204,75.10108293805804,1.456936108635742,3.267736750809354,3.335496377516562,59.30796058139604,3517.434188324426,49.9048810686384,0.968138146370538
daily,D1820,3.0568814592396967,3.134542268520959,274.75638560108376,75491.07142857143,206.07142857142856,0.8666013662849107,2.7452347326442017,2.7803631249066103,229.06864525046075,52472.44423688143,184.6196510482702,0.7763892498373106,2.8114269355398736,2.852314659380083,235.14978884797816,55295.42319524872,189.1230141447056,0.7953274434496058,4.6682694404967515,4.844895897175084,394.7457899369116,155824.2386729163,319.0731978348182,1.3418127447624564,2.8924519405966778,2.8501526513606072,225.86955609438684,51017.05637027536,194.835693359375,0.8193512280513802,4.082896540670818,4.13363798996798,319.6756936593889,102192.54911661148,275.68533761160717,1.1593518417140725,6.211192091960637,5.991236666652525,448.78970314180225,201412.197646107,409.93910435267856,1.7239351927067637,1.3894952071778186,1.3769165154636267,108.78832265895336,11834.899146948545,94.051025390625,0.3955169703487605,2.9777743811499775,2.9984763056154367,242.80083121543703,58952.24363890716,200.64700753348217,0.8437898066457266,2.6028850424204393,2.5697665492659847,253.0857409180167,64052.3922560215,174.88434709821428,0.735448942086724
daily,D1844,0.7597186882123961,0.7550172078327997,30.324436162465226,919.5714285714286,22.714285714285715,0.5553092887366512,0.4989327299486966,0.4978532847242929,18.16715659678571,330.0455788121345,14.955169607558576,0.365617686691606,0.4581844859119695,0.4575827901340301,18.001753460793925,324.063127663206,13.733110791313752,0.335741307545047,1.185708401896271,1.1979278584574646,47.2335569417046,2231.0089013652505,35.737861258696775,0.873704177457561,1.189057646134469,1.1831592771547583,41.03330369579068,1683.732012190989,35.489658900669646,0.867636230763903,1.7566066174684865,1.737714643321891,58.4939886932475,3421.5467132457666,52.235682896205354,1.2770359711343104,1.958532098566468,1.931921928551191,68.99219683476728,4759.9232240872725,58.133457728794646,1.4212222858003394,0.926794360313696,0.9201882681689246,34.58222657597088,1195.9303949517864,27.6849365234375,0.6768296658292196,2.5083508837231623,2.4606374732538177,92.29237293244624,8517.882101501737,74.08349609375,1.811162104783733,2.258050656831445,2.2248686330775236,77.28737696376764,5973.3386379395215,66.81040736607143,1.633352695362348
