model,series_id,category,strategy,sMAPE,MAPE,RMSE,MSE,MAE,MASE
dlinear,Q2061,quarterly,pretrain_finetune,11.175135749034371,10.500846027445334,404.9566716615896,163989.90592323244,376.0582275390625,3.2082721355924337
dlinear,Q2061,quarterly,from_scratch,37.89914110151373,31.79922613024266,1133.7602944857758,1285412.4053524733,1126.0289916992188,9.606510836310829
dlinear,Q2140,quarterly,pretrain_finetune,3.195174109514683,3.1305764182617963,41.96612483867537,1761.155633975286,33.638999938964844,0.2812495967896884
dlinear,Q2140,quarterly,from_scratch,3.8410698202690137,3.966239517305295,52.74403617619794,2781.9333521560766,40.65128326416016,0.3398780298990149
dlinear,Q2259,quarterly,pretrain_finetune,1.3581495118181242,1.3685289277990589,18.30989486682985,335.2522500343621,17.333343505859375,0.7058827672069429
dlinear,Q2259,quarterly,from_scratch,6.072589225379526,5.8510412824674765,82.50347165529048,6806.8228351753205,74.16313171386719,3.020218033596401
dlinear,Q3074,quarterly,pretrain_finetune,33.15875019874463,41.07664056707817,1985.7870623313877,3943350.256922722,1868.1871337890625,1.8112854310952224
dlinear,Q3074,quarterly,from_scratch,42.69004223376677,55.58697636572334,2657.086982982125,7060111.235133052,2565.8038330078125,2.487653949499937
dlinear,Q4380,quarterly,pretrain_finetune,26.169827226443733,31.97368713441656,6354.644434668903,40381505.89106846,5553.86962890625,3.2482102282747407
dlinear,Q4380,quarterly,from_scratch,66.66635490501818,45.03217977459564,11114.81811977194,123539181.83561066,9150.081237792969,5.351473738499889
dlinear,Q4832,quarterly,pretrain_finetune,79.6513760954127,54.51596621167598,2906.9830350613133,8450550.366134286,2707.8814453125,3.0463577137598468
dlinear,Q4832,quarterly,from_scratch,123.00874584960462,73.02432225553174,3828.6608865326734,14658644.184065163,3632.060034179687,4.08605558456613
dlinear,Q8897,quarterly,pretrain_finetune,12.26166873062372,13.199176449245886,1024.409015967877,1049413.831996274,960.8524658203124,2.527041015132083
dlinear,Q8897,quarterly,from_scratch,15.836643605688003,17.07041674552971,1329.500198154277,1767570.7768922625,1252.564538574219,3.294243471993105
dlinear,Q9657,quarterly,pretrain_finetune,4.912408841800503,5.086191414640334,80.8718727139542,6540.25979626201,68.74014587402343,0.2602546640665453
dlinear,Q9657,quarterly,from_scratch,10.05096950976119,9.840520832046654,155.25140985910457,24103.00026323967,134.59506530761718,0.5095856731355282
dlinear,Q10382,quarterly,pretrain_finetune,1.3781891304511888,1.3919755765198574,391.9493518583105,153624.29442214966,321.58056640625,0.4377131640474354
dlinear,Q10382,quarterly,from_scratch,4.378672811656929,4.246007341195203,1169.306629904075,1367277.9947376251,981.38134765625,1.3357882275668655
dlinear,Q10522,quarterly,pretrain_finetune,23.09079563952897,26.871002999160293,419.6136049667143,176075.57747316174,375.14524841308594,0.9312776575968514
dlinear,Q10522,quarterly,from_scratch,35.38898716613335,28.0290305012746,611.9855596317168,374526.3251977456,478.9215774536133,1.188896745221396
dlinear,Q10642,quarterly,pretrain_finetune,12.387696529181012,13.269612480711231,345.2371599124987,119188.69658444822,334.57330322265625,0.7496804621522768
dlinear,Q10642,quarterly,from_scratch,44.906504775006525,59.27536945006586,1544.9001177765438,2386716.373905979,1487.8526916503906,3.3338406942429395
dlinear,Q10805,quarterly,pretrain_finetune,3.853257034425961,3.905667774965615,118.2339199419124,13979.259824830551,103.82191284179692,0.4970502482593056
dlinear,Q10805,quarterly,from_scratch,9.930287631204168,10.416440091444986,335.6172936947136,112638.96782696364,279.17859375,1.3365751558013734
dlinear,Q12004,quarterly,pretrain_finetune,6.714947801315582,6.430806071082763,785.7351258925611,617379.6880613988,678.9111679687496,0.6076875379669909
dlinear,Q12004,quarterly,from_scratch,12.043127904658784,11.08418021276489,1390.2715919261243,1932855.0993168,1157.6246171874998,1.0361798224845715
dlinear,Q12311,quarterly,pretrain_finetune,6.645216411895285,6.789651746986047,105.00693444222624,11026.456280954,91.93573365625,1.1437040781056085
dlinear,Q12311,quarterly,from_scratch,7.061693547319575,7.085193480456073,105.92831972075898,11220.808918863337,97.3309515517578,1.21082197083307
dlinear,Q12626,quarterly,pretrain_finetune,19.708772655796324,19.35765281272441,1560.9497589083974,2436564.1498361835,1310.4764965820314,2.0503910845214413
dlinear,Q12626,quarterly,from_scratch,99.70026814203538,63.43510479074472,4866.764282467374,23685394.581100173,4441.539107666016,6.949298374800464
dlinear,Q13090,quarterly,pretrain_finetune,3.683896759399528,3.6050803938272176,295.20846970516766,87148.0405856669,270.4022827148437,1.9922022484785675
dlinear,Q13090,quarterly,from_scratch,4.558289141903725,4.44103142657767,359.04147048000107,128910.77752444148,332.76861572265625,2.451689304579173
dlinear,Q15451,quarterly,pretrain_finetune,4.2664555817209004,4.119179575408206,603.1925393966098,363841.2395837307,459.998779296875,0.7294606024881441
dlinear,Q15451,quarterly,from_scratch,6.541491724605278,6.069088661713918,1037.413167529159,1076226.0801628828,675.7440185546875,1.071586841287104
dlinear,Q15693,quarterly,pretrain_finetune,0.6829477553346581,0.6849538625881534,88.27042699715436,7791.668282259957,73.10034667968762,0.1498023019870486
dlinear,Q15693,quarterly,from_scratch,3.5032881993240914,3.383315574088276,567.6192224475702,322191.58169198426,363.2173339843751,0.7443301601684084
dlinear,Q16722,quarterly,pretrain_finetune,6.18796213397886,5.971756601753193,177.29870362142273,31434.83030583709,163.10238647460938,0.9622559674018252
dlinear,Q16722,quarterly,from_scratch,45.7817049339015,36.869727408997264,1020.340045606039,1041093.8086673338,997.0400848388672,5.882242388429895
dlinear,Q17209,quarterly,pretrain_finetune,13.761676935249875,12.825760965012291,1447.0761437280128,2094029.3657467363,1394.85595703125,1.8942488305362652
dlinear,Q17209,quarterly,from_scratch,24.69301272241412,21.406519899435995,2661.879532962258,7085602.64800337,2362.106750488281,3.207799290786555
dlinear,Q17646,quarterly,pretrain_finetune,57.03602672465588,42.13130989706612,5592.642484517316,31277649.959628016,4665.612609863281,12.028532509803773
dlinear,Q17646,quarterly,from_scratch,92.80923912031152,60.5220184563296,7054.789508958681,49770055.01571347,6331.482070922852,16.323352214097977
dlinear,Q18256,quarterly,pretrain_finetune,18.832588133414863,17.77851847486735,1274.8525879029928,1625249.1208829582,929.0820922851562,0.4509598145192653
dlinear,Q18256,quarterly,from_scratch,31.601019485085647,35.38733705543058,1679.0207117642842,2819110.550533444,1499.0748901367188,0.7276241141875935
dlinear,Q18554,quarterly,pretrain_finetune,4.871149693361299,4.724407768003797,110.75694770622762,12267.10146520004,97.60366210937502,1.1323889526933688
dlinear,Q18554,quarterly,from_scratch,9.435936135881212,8.920954532197639,203.80092490889663,41534.81699372173,183.6631713867188,2.1308436773805486
dlinear,Q18754,quarterly,pretrain_finetune,2.5349454457019185,2.5777495094006366,76.99976629294301,5928.964009167841,67.42034736328122,0.5675037888040615
dlinear,Q18754,quarterly,from_scratch,19.78552718266653,16.520847146410862,597.4871812639191,356990.93177470326,434.2520643798828,3.6552717609667176
dlinear,Q18855,quarterly,pretrain_finetune,45.68711667634119,61.11212695758383,1615.1506439739237,2608711.60272938,1561.568359375,2.263697037764404
dlinear,Q18855,quarterly,from_scratch,30.493113276691965,39.50559720019234,1178.236397647455,1388241.008741252,984.4319763183594,1.4270625652048576
dlinear,Q19745,quarterly,pretrain_finetune,7.208321184154546,6.887851435779472,571.3510485897534,326442.0207246107,496.8393916015624,0.8978857108346907
dlinear,Q19745,quarterly,from_scratch,10.59236378822867,10.08854487303953,758.8455456380763,575846.5621347497,719.3031367187499,1.2999210995256087
dlinear,Q20145,quarterly,pretrain_finetune,27.691512193555106,23.968202185686955,3256.391945884388,10604088.505220711,3029.535375976562,2.907038776497926
dlinear,Q20145,quarterly,from_scratch,51.57603501449917,40.5682812099579,5226.872461611301,27320195.72995059,5050.455603027343,4.846244870881907
dlinear,Q20586,quarterly,pretrain_finetune,17.843993147987753,17.559000997559735,468.91612456189546,219882.33187414703,399.3226318359375,0.538724954823271
dlinear,Q20586,quarterly,from_scratch,16.375936461613232,16.52967886778383,452.56340470886937,204813.63528168388,348.9613494873047,0.4707827011288799
dlinear,Q22237,quarterly,pretrain_finetune,2.376427972801362,2.3902788433817617,133.8805728813402,17924.00779503584,112.807861328125,0.2211732323547587
dlinear,Q22237,quarterly,from_scratch,10.852912482381106,11.849005255106457,696.9680744097614,485764.49674645066,551.4055786132812,1.081096235000952
dlinear,Q23398,quarterly,pretrain_finetune,4.812400849081835,4.954106599610379,57.60938343399681,3318.8410596452663,52.66729736328125,0.5951536295619875
dlinear,Q23398,quarterly,from_scratch,22.028092182745414,25.133679333409347,283.53703919484064,80393.2525953766,266.1993560791016,3.0081192863333746
nbeats,Q2061,quarterly,pretrain_finetune,7.3149983659149695,7.017690665267404,271.95902223679167,73961.70977599174,251.41207885742188,2.1448762667101864
nbeats,Q2061,quarterly,from_scratch,6.129430798773764,6.377077102791509,260.87520410635864,68055.87211753428,228.84246826171875,1.952327752988745
nbeats,Q2140,quarterly,pretrain_finetune,2.6792430531185367,2.6562601073302745,34.360809434670024,1180.6652250057086,28.2357177734375,0.2360737314799944
nbeats,Q2140,quarterly,from_scratch,9.37924753295458,9.91729020132691,109.22261302328164,11929.57919563353,102.30105590820312,0.8553206331206674
nbeats,Q2259,quarterly,pretrain_finetune,3.102541829330588,3.153636540689094,40.83240717721031,1667.2854758854955,39.97282409667969,1.6278525650231546
nbeats,Q2259,quarterly,from_scratch,7.410365355977516,7.704608696868997,99.22098245239933,9844.803358819336,97.70724487304688,3.97902807175304
nbeats,Q3074,quarterly,pretrain_finetune,18.46941744881793,21.1949708032889,1096.0746131515195,1201379.557595253,949.184814453125,0.9202743101804745
nbeats,Q3074,quarterly,from_scratch,27.59739221717349,33.112799486659526,1615.2381431481945,2608994.2590808272,1497.4801025390625,1.451869485677679
nbeats,Q4380,quarterly,pretrain_finetune,80.94340983328728,56.857638057452384,10988.011527155608,120736397.32090452,10835.344299316406,6.337108814498616
nbeats,Q4380,quarterly,from_scratch,86.13660960441807,57.96783837615481,12264.405971860517,150415653.84260786,11354.59326171875,6.640794335296211
nbeats,Q4832,quarterly,pretrain_finetune,108.35251773168596,67.54307646856138,3515.4682799915686,12358517.22762688,3338.5459045410157,3.755853154740371
nbeats,Q4832,quarterly,from_scratch,122.9151477599792,73.42705685877846,3771.9956818150727,14227951.423631554,3611.0815338134767,4.062454840698872
nbeats,Q8897,quarterly,pretrain_finetune,10.445801207704893,11.065736455515475,831.8211908784757,691926.4935944856,810.5113403320313,2.131644006866452
nbeats,Q8897,quarterly,from_scratch,15.299306416841176,16.588531299299756,1230.5644778055812,1514288.9340369226,1224.3533203125,3.2200479964438564
nbeats,Q9657,quarterly,pretrain_finetune,19.71518297564784,22.30200080707539,331.9669505975991,110202.05628906882,304.5509979248047,1.1530498902534836
nbeats,Q9657,quarterly,from_scratch,12.145069816473349,11.955404468432222,182.11752119753132,33166.791527133275,165.49300537109372,0.6265672842351799
nbeats,Q10382,quarterly,pretrain_finetune,7.634484703086808,7.331002058366795,1764.1184022398002,3112113.737121105,1694.988037109375,2.3071001616697107
nbeats,Q10382,quarterly,from_scratch,15.10491038932886,13.925108593192848,3401.7885365831035,11572165.247628212,3218.9599609375,4.381425050617046
nbeats,Q10522,quarterly,pretrain_finetune,30.94964967845863,24.71770097302785,580.9821852797527,337540.2996124369,428.9534530639648,1.0648535965131407
nbeats,Q10522,quarterly,from_scratch,73.0863308231833,45.615873189611165,1035.873603475747,1073034.1223778287,776.9524688720703,1.928742209413608
nbeats,Q10642,quarterly,pretrain_finetune,4.936503953317834,4.933764700368106,134.97665641102674,18218.697775900364,124.19354248046876,0.2782812359093851
nbeats,Q10642,quarterly,from_scratch,38.46420079332562,48.91269966674008,1301.012841517986,1692634.4137947038,1230.1429138183594,2.756388807062017
nbeats,Q10805,quarterly,pretrain_finetune,3.000661128598619,3.009567187863222,94.3536056274249,8902.602894895628,80.62549804687501,0.3859967777832726
nbeats,Q10805,quarterly,from_scratch,16.065767904498042,17.793963627415398,527.86356957669,278639.94808624504,479.48175537109375,2.295532022282907
nbeats,Q12004,quarterly,pretrain_finetune,7.627490285646174,7.270206697508113,875.699922978844,766850.3551051534,767.0923906249998,0.6866177907292527
nbeats,Q12004,quarterly,from_scratch,7.597852942037012,7.260298046425436,872.071050421586,760507.9169834084,763.7409990234371,0.6836179889772647
