model,series_id,category,strategy,sMAPE,MAPE,RMSE,MSE,MAE,MASE
dlinear,M21055,monthly,from_scratch,5.117458856928805,5.31193997396224,94.28614380271672,8889.876913186577,78.42416720920139,0.983906921508475
dlinear,M21284,monthly,pretrain_finetune,34.755348446905295,47.18106557152497,1837.0796573850632,3374861.6675780215,1563.8352593315972,0.9707717985147981
dlinear,M21284,monthly,from_scratch,34.39745035617408,44.48577636494245,1807.2604116231466,3266190.195420265,1511.9965277777778,0.9385922077535973
dlinear,M21615,monthly,pretrain_finetune,8.905209961985767,8.37071367747037,586.2354025135156,343671.94716018374,452.23097710937486,0.6151872421379042
dlinear,M21615,monthly,from_scratch,6.175087580148161,6.506353121793995,404.3616315744193,163508.32908952638,311.8777272291666,0.4242593024580562
dlinear,M24013,monthly,pretrain_finetune,17.296291734564345,15.671283011124427,2287.7650310377876,5233868.837239329,1923.6903545052082,1.5260137713152389
dlinear,M24013,monthly,from_scratch,29.855628145908835,25.706288275305322,3360.485107922076,11292860.160566049,3022.164475598958,2.397404862036605
dlinear,M24629,monthly,pretrain_finetune,10.306555917883761,9.66516760422358,435.402977675954,189575.75296908728,356.58581752170136,0.80563224504211
dlinear,M24629,monthly,from_scratch,12.805550912685899,11.686708002005414,560.861285435336,314565.38150017743,437.4117448220486,0.9882417882963821
dlinear,M25261,monthly,pretrain_finetune,4.705792860877314,4.83816043145667,272.77549946469105,74406.47310821166,253.76251017361113,1.7202838148710258
dlinear,M25261,monthly,from_scratch,4.098209742295039,4.20495084490732,245.59260783820073,60315.72902476826,220.30793106770838,1.4934915636049375
dlinear,M26181,monthly,pretrain_finetune,4.875808294821315,4.768280377206905,322.79448995729814,104196.28274679225,272.28779716145834,0.6321029446234475
dlinear,M26181,monthly,from_scratch,7.7394162790277115,7.379824952196176,486.87651387945465,237048.7397674108,424.1902103211806,0.9847370459479818
dlinear,M30903,monthly,pretrain_finetune,5.5265181846675056,5.704895386974437,330.16501163949323,109008.93491090668,297.2630208333333,1.2322569062461801
dlinear,M30903,monthly,from_scratch,4.362187189294914,4.4979838803349015,292.33125473552235,85457.56249524487,233.76955837673611,0.9690547851270132
dlinear,M31402,monthly,pretrain_finetune,15.773348578474902,17.624077976078418,1231.0406029363253,1515460.966077831,1059.8956163194443,1.3203380968869631
dlinear,M31402,monthly,from_scratch,14.968453417001982,16.754900391263632,1218.8196294667412,1485521.289173444,1001.8927408854166,1.2480824851216494
dlinear,M33459,monthly,pretrain_finetune,9.636387118818506,10.150088148057495,780.6256103490407,609376.3435328123,697.265258125,0.7386522108582035
dlinear,M33459,monthly,from_scratch,18.736306999252463,16.703188701805296,1608.9441040935965,2588701.1300975457,1319.6191544878473,1.3979466129926388
dlinear,M34429,monthly,pretrain_finetune,16.904831860084986,19.954148131045464,517.5208869591145,267827.8684389485,396.85171115451396,0.5598729377542963
dlinear,M34429,monthly,from_scratch,36.7678233213185,47.369682960579,1107.6499366059088,1226888.382063074,1012.2020334201391,1.428000711911154
dlinear,M35304,monthly,pretrain_finetune,19.213371460154928,17.147430569627705,3592.4458154007716,12905666.936590513,2879.9473741319443,2.02427911935566
dlinear,M35304,monthly,from_scratch,53.6604955270066,40.841292368493846,7567.349468472044,57264777.97798412,6558.971055772569,4.610219017165369
dlinear,M36523,monthly,pretrain_finetune,6.926841802999951,6.619237780114153,140.93101411689338,19861.550740016002,120.57415771484375,1.1420687193442869
dlinear,M36523,monthly,from_scratch,9.914242080806579,9.356131880657706,186.9389528863,34946.17210622629,169.27525499131946,1.6033615937987509
dlinear,M37129,monthly,pretrain_finetune,2.368926011050623,2.3832433483991364,61.8852604974177,3829.785466833247,53.7152099609375,0.3575096596133268
dlinear,M37129,monthly,from_scratch,4.779169857272993,4.7712606564847135,140.03946409857753,19611.051505016785,108.58799235026042,0.7227237166431544
dlinear,M37512,monthly,pretrain_finetune,1.1794733482048974,1.1729530812189282,142.72365806197294,20370.042570590973,117.98280164930556,0.3084973871805079
dlinear,M37512,monthly,from_scratch,1.623158046024539,1.603843792140376,200.03929456231248,40015.719368987615,161.13894314236111,0.42134058725108625
dlinear,M37721,monthly,pretrain_finetune,2.186401557697893,2.2124950924833726,26.546120385855087,704.696507540311,23.77952338324649,0.7411236082500714
dlinear,M37721,monthly,from_scratch,1.3329608352659674,1.3218038354475246,19.813854238133082,392.5888197699843,14.474881998697912,0.45113085754389115
dlinear,M39491,monthly,pretrain_finetune,3.865034575292175,4.002621036511193,78.38923626153165,6144.872361666229,58.83563368055556,0.7138476225013384
dlinear,M39491,monthly,from_scratch,4.9808890259066025,5.14075846067996,85.10018185581433,7242.040951892671,76.17454969618058,0.9242191813717047
dlinear,M40299,monthly,pretrain_finetune,30.392792051116075,36.47972195532676,1439.1770325797668,2071230.5311051032,1378.1087293836806,1.476997527707049
dlinear,M40299,monthly,from_scratch,38.08105336886344,47.75434042635476,1857.4052640297564,3449954.314845449,1807.2634602864584,1.9369470679952545
dlinear,M41193,monthly,pretrain_finetune,4.905945382979198,5.079803671334093,113.80209307667221,12950.916388631564,96.94093831380209,0.49919752287838287
dlinear,M41193,monthly,from_scratch,11.078313895159802,11.787842509840846,236.4123157094447,55890.78301910215,226.99924045138889,1.1689329657795773
dlinear,M44480,monthly,pretrain_finetune,4.118547602592428,4.130776792223912,147.99149246889542,21901.481843171132,114.37001520833331,0.2921788859874577
dlinear,M44480,monthly,from_scratch,5.5426364655899905,5.340626453164579,185.6543700798924,34467.545129761646,152.9509777647569,0.39074093163837337
dlinear,M46813,monthly,pretrain_finetune,24.29836530089634,25.226695959364054,377.98328448342806,142871.3633488801,326.2992106119792,0.7080908580504068
dlinear,M46813,monthly,from_scratch,30.395273220692147,36.635128552675894,481.3061767598217,231655.63578715673,423.62970513237843,0.9193044654942054
nbeats,M4124,monthly,pretrain_finetune,36.37885619534233,33.0073904894516,5618.41226410612,31566556.369458064,4265.7783203125,1.0335338157838538
nbeats,M4124,monthly,from_scratch,44.73541544532992,49.97961141005208,6823.686456796939,46562696.86067396,5563.203504774306,1.3478803900551224
nbeats,M4282,monthly,pretrain_finetune,10.412516537040243,9.823569340069923,484.91763134269746,235145.10918701222,432.37875984375,1.2392985804477357
nbeats,M4282,monthly,from_scratch,9.41091588020588,8.819244447711378,477.9200128138315,228407.53864797286,393.5778429600694,1.1280860841831344
nbeats,M4519,monthly,pretrain_finetune,35.0404926082074,28.18883873566283,5045.258203918464,25454630.344206557,3583.8160481770838,1.347780941365986
nbeats,M4519,monthly,from_scratch,43.252194806012845,35.47420490265761,5240.373126262814,27461510.5024575,4175.245648871529,1.5702023863453187
nbeats,M6148,monthly,pretrain_finetune,28.68265480879042,34.55243849866979,2715.3377510149435,7373059.102086891,2428.0654079861106,1.9750277294855696
nbeats,M6148,monthly,from_scratch,47.89069900910746,66.56704871928592,4789.867439153583,22942830.084663704,4535.086762152778,3.6889130257424685
nbeats,M8762,monthly,pretrain_finetune,50.687445468473356,70.81095401591114,857.9560113129955,736088.5173481049,825.9427422417534,1.6862011571554423
nbeats,M8762,monthly,from_scratch,28.571118528559776,36.82053136654472,508.15347294278837,258219.95206381712,416.017822265625,0.8493200526196499
nbeats,M9667,monthly,pretrain_finetune,44.96983412907618,61.64552476490128,387.98445493982877,150531.93727495603,359.7056952582465,1.3909921729796506
nbeats,M9667,monthly,from_scratch,26.463982055016977,33.56042920934758,242.99344610903316,59045.81485194361,193.70753648546008,0.7490725630713178
nbeats,M17796,monthly,pretrain_finetune,28.590742133345664,35.61943039468018,181.80830694749685,33054.26047511523,158.90592447916666,0.44378430648272904
nbeats,M17796,monthly,from_scratch,46.53630750648986,75.81611921054918,381.08516187348397,145225.90060013946,305.3951483832465,0.8528918891643827
nbeats,M19315,monthly,pretrain_finetune,50.90714604246433,75.37527003932442,1574.872764458444,2480224.2242329814,1430.1313069661458,1.6534986713401685
nbeats,M19315,monthly,from_scratch,40.84358901571051,53.58974948198216,1140.8147565417014,1301458.3087433013,1041.8835042317708,1.2046117594566113
nbeats,M20774,monthly,pretrain_finetune,20.116451299622636,22.798588206614657,184.98687210117387,34220.142849776064,153.73429361979166,0.2770425145851446
nbeats,M20774,monthly,from_scratch,40.16088419288607,58.18544766455093,470.69574987250843,221554.48894804303,384.4409925672743,0.6927959714301181
nbeats,M21055,monthly,pretrain_finetune,6.395075422119244,6.665538268483758,110.4422078796201,12197.481281325221,98.63205295138889,1.237434365386233
nbeats,M21055,monthly,from_scratch,4.898393820490631,5.071451834702999,88.14225977678942,7769.057958559029,75.20117865668402,0.943471417280483
nbeats,M21284,monthly,pretrain_finetune,30.56110102524196,36.78076579716724,1575.755117646967,2483004.1907906067,1321.365695529514,0.8202555512741185
nbeats,M21284,monthly,from_scratch,30.453285297964772,38.56695481789847,1675.5406990144484,2807436.6340538263,1333.859619140625,0.8280113226202952
nbeats,M21615,monthly,pretrain_finetune,9.636551400463242,10.423454780457424,627.8350232856961,394176.8164641507,508.7595220711806,0.692085202333831
nbeats,M21615,monthly,from_scratch,17.371074473195808,19.40279346390876,1052.6167524296425,1108002.0274955274,969.7546392586805,1.319194642280551
